A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
North Pass Hollow Cottages Portal | Dungeon | 0x85C4001C [92.722 76.155 74.005] -0.894673 0 0 -0.446721
North Sawato Villas Portal | Dungeon | 0xC5660016 [58.856 134.175 72.91] 0.370484 0 0 -0.928839
North Syliph | Dungeon | 0x8E8F000B [42.1 65.5 224] -0.446198 0 0 -0.894934
North Tumerok Vanguard Outpost | Dungeon | 0x02A50296 [60 -680 6] 0.707107 0 0 -0.707107
North Uziz Settlement Portal | Dungeon | 0xA4640031 [158.364 14.302 18.005] 0.973347 0 0 -0.229336
North Yanshi Plains Settlement Portal | Dungeon | 0xBB790020 [85.973 179.565 28.005] -0.026997 0 0 -0.999636
North Yaraq Villas Portal | Dungeon | 0x7C6C0006 [4.23 123.22 11.737] -0.654859 0 0 -0.755751
Northern Ahurenga Plains Portal | Dungeon | 0x13C0002D [142.8 113.9 20.1] 0.991894 0 0 -0.127065
Northern Black Claw Outpost Portal | Dungeon | 0x02970143 [110 -770 -24] 1 0 0 0
Northern Catacombs | Dungeon | 0x00D20535 [120 -210 -11.995] 1 0 0 0
Northern Catacombs Exit | Dungeon | 0x009C01F4 [390 -40.8 -23.995] 0 0 0 -1
Northern Infiltrator Keep | Dungeon | 0x03A30201 [70 -590 0] 1 0 0 0
Northern Manumet Plains Portal | Dungeon | 0x2ABE000D [47.7 103.3 20] 0.393942 0 0 -0.919135
Northern Pedestal Dungeon | Dungeon | 0x006306BE [49.6892 -44.4423 0.005] -0.016703 0 0 0.999861
Northern Point | Dungeon | 0x89F40003 [12.1 65.8 20] 1 0 0 0
Northern Power Forge | Dungeon | 0x00040100 [0 -170 6.005] 0.707107 0 0 -0.707107
Northern Temple Catacombs | Dungeon | 0x004E054A [40 -280 0.005] 1 0 0 0
Northern Volcano Portal | Dungeon | 0x91CF0004 [5.6 93.7 561.9] -0.951057 0 0 -0.309017
Northfire Estates Portal | Dungeon | 0x5CE7001B [95.115 57.211 37.164] -0.970211 0 0 -0.242261
Northreach Portal | Dungeon | 0xABE7002C [130.279 89.124 0.095] 0.879183 0 0 -0.476484
Northwatch Castle Portal | Dungeon | 0x9EE50293 [104.166 30.0497 58.805] 0.707107 0 0 -0.707107
Northwater Cottages Portal | Dungeon | 0x78F40007 [20.872 157.788 2.256] 0.95607 0 0 -0.29314
Northwest Direlands | Dungeon | 0x147C0014 [54 77.8 150] 0.97437 0 0 -0.224951
Northwest Direlands Portal | Dungeon | 0x12860003 [10 68 50] 0.979925 0 0 -0.199368
Norvale Portal | Dungeon | 0xC0D90024 [110.548 81.501 99.634] -0.902142 0 0 -0.43144
NPK Only Test Portal | Dungeon | 0x828E001E [77.6 122.9 124] -0.529919 0 0 -0.848048
Nuhmudira's Dungeon | Dungeon | 0x536D0289 [149.243 -129.946 -5.995] -0.707107 0 0 -0.707107
Nuhmudira's Mansion | Dungeon | 0xAC7A0151 [58.86 77.605 -3.995] 1 0 0 0
Oboro Portal | Dungeon | 0xB141002B [132.389 53.526 35.037] -0.920041 0 0 -0.391823
Obsidian Plains | Dungeon | 0x2D2F0034 [147.5 78.6 47.1] 0.446198 0 0 -0.894934
Obsidian Rim Portal | Dungeon | 0x2E43000C [33 80 7.5] 0.707107 0 0 -0.707107
Obsidian Span Portal | Dungeon | 0xB4AA0005 [5.8 112.6 51.3] -0.707107 0 0 -0.707107
Ogham Dungeon | Dungeon | 0x0272029A [160 -60 -6] -0.707107 0 0 -0.707107
Old Mine | Dungeon | 0x019001F3 [18 -12.5 0] 0.809683 0 0 -0.586867
Old Talisman Dungeon Portal | Dungeon | 0x01EA041E [60 -60 54] -0.325568 0 0 -0.945519
Old Warehouse | Dungeon | 0x0165015B [40 -20 0] 0 0 0 -1
Olthoi Arcade | Dungeon | 0x5B43041A [80 -7.5 0] 0 0 0 -1
Olthoi Arcade | Dungeon | 0x5D49014D [90 0 0.005] 0 0 0 -1
Olthoi Arcade Central | Dungeon | 0x5B440379 [30 -10 -11.995] 0 0 0 -1
Olthoi Breeding Hive | Dungeon | 0x584D022C [40 -20 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x57720439 [130 -110 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x57730439 [130 -110 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x584B04F1 [65.6376 -11.5578 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x584C04F1 [65.6376 -11.5578 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x5E48043D [30 0 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x5E490435 [18.8143 -12.6949 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x5E4A043D [30 0 0.005] 1 0 0 0
Olthoi Brood Hive | Dungeon | 0x5E4B0435 [18.8143 -12.6949 0.005] 1 0 0 0
Olthoi Chasm | Dungeon | 0x5D4A0342 [70 -18.4296 0.005] 1 0 0 0
Olthoi Horde Nest | Dungeon | 0x02FB03B4 [90 -650 0.005] 1 0 0 0
Olthoi Horde Nest | Dungeon | 0x02FC03A6 [90 -650 0.005] 1 0 0 0
Olthoi Horde Nest | Dungeon | 0x02FD03A6 [90 -650 0.005] 1 0 0 0
Olthoi Tunnel | Dungeon | 0x18B40001 [11.5048 0.0807 22.005] 0 0 0 -1
Olthoi Tunnel | Dungeon | 0x3EEB0001 [9.6898 22.5287 14.005] 0 0 0 -1
Olthoi Tunnel | Dungeon | 0x400A001E [82.475 143.411 -0.095] -0.707107 0 0 -0.707107
Olthoi Tunnel | Dungeon | 0x7F8F0019 [89.154 1.118 124.005] 0.965926 0 0 -0.258819
Olthoi Tunnel | Dungeon | 0x96D6003E [177.106 120.707 84.005] 0 0 0 -1
Olthoi Tunnel | Dungeon | 0x9A210014 [60 94.992 96.005] 1 0 0 0
Olthoi Tunnel | Dungeon | 0xB56D0016 [57.2196 120.916 28.005] 0.707107 0 0 -0.707107
Olthoi Tunnel | Dungeon | 0xC5A70037 [155.026 167.921 42.012] 0.707107 0 0 -0.707107
Olthoi Tunnel | Dungeon | 0xE3D10034 [151.652 93.8069 5.452] 0.996813 0 0 -0.079775
Olthoi Tunnel | Dungeon | 0xE3D2002D [134.273 119.39 6.005] 0.026177 0 0 -0.999657
Olthoi Tunnel | Dungeon | 0xE3D3000F [38.4765 146.798 6.005] -0.99992 0 0 -0.012664
Olthoi Tunnel | Dungeon | 0xE3D30036 [156 132 6.005] 1 0 0 0
Olthoi Tunnel | Dungeon | 0xE4CF000D [36 108 36.005] 1 0 0 0
Olthoi Tunnel | Dungeon | 0xE4D00018 [67.0665 170.833 6.005] 1 0 0 0
Olthoi Tunnel | Dungeon | 0xE5CE0037 [147.045 159.206 11.272] 0.92388 0 0 -0.382683
Olthoi Tunnel | Dungeon | 0xE5D00040 [175.775 185.36 42.005] -0.087156 0 0 -0.996195
Olthoi Tunnel | Dungeon | 0xE6CF0025 [113.499 112.67 6.005] -0.068908 0 0 -0.997623
Olthoi Tunnel | Dungeon | 0xE7D1003A [179.718 26.8271 42.005] 0.999334 0 0 0.036489
Olthoi Tunnel | Dungeon | 0xF65D0008 [10.664 168.449 20.005] 0.707107 0 0 -0.707107
Olthoi Tunnel | Dungeon | 0xF7300030 [123.776 171.058 48.005] -0.642788 0 0 -0.766044
Olthoi Tunnels | Dungeon | 0x018D01C5 [60 -20 -17.995] 1 0 0 0
Olthoi Warrior Nest | Dungeon | 0x667801DC [30.02 -75.71 0] 1 0 0 0
Ong-Hau Village Portal | Dungeon | 0xEC450025 [108.655 117.632 22.005] 0.001641 0 0 -0.999999
Oolutanga's Refuge | POI | 0xF6820033 [145.7 49.855 58.005] -0.467544 0 0 -0.88397
Orange Portal | Dungeon | 0x587A01F6 [510 -65.197 0.005] 1 0 0 0
Oriel Residential Halls Portal | Dungeon | 0x565E0140 [40 -70 0] 1 0 0 0
Osric Cottages Portal | Dungeon | 0xB286001B [81.612 65.653 40.121] 0.998143 0 0 -0.060909
Oubliette | Dungeon | 0x54620104 [11.5 2.25 0] 1 0 0 0
Oubliette | Dungeon | 0x6349022C [50 -90 0.005] 1 0 0 0
Our House, is a very, very, very fine house! | Dungeon | 0x05FD000A [36.6 47.3 10] -0.994522 0 0 -0.104529
Outer Courtyard | Dungeon | 0x800402C3 [118.307 -141.996 0.005] 0.976514 0 0 -0.215455
Outer Courtyard | Dungeon | 0x870302C3 [118.717 -141.203 0.005] 0.977131 0 0 -0.21264
Outer Courtyard | Dungeon | 0x8C0402C3 [118.717 -141.203 0.005] 0.977131 0 0 -0.21264
Outer Courtyard Portal | Dungeon | 0x036402EF [100 -190 0] 0.902585 0 0 -0.430511
Outer Courtyard Portal | Dungeon | 0x036602EF [100 -190 0] 0.902585 0 0 -0.430511
Outer Courtyard Portal | Dungeon | 0x036802EF [100 -190 0] 0.902585 0 0 -0.430511
Outside Accursed Halls Portal | Dungeon | 0x3761000C [37.31 80.17 40] 0 0 0 -1
Outside Crater Caves Dungeon | Dungeon | 0x8FD20007 [8 162 278] 0.173648 0 0 -0.984808
Outside Linvak Tukal | Dungeon | 0xA220002F [139 146.3 321.6] -0.99968 0 0 -0.025305
P'rnelle Acres Portal | Dungeon | 0xCBD60024 [103.811 90.089 33.894] -0.574577 0 0 -0.818451
Palenqual's Caverns | Dungeon | 0x028E0330 [90 -70 0] 0.707107 0 0 -0.707107
Palm-of-Stone Villas Portal | Dungeon | 0xA08D001A [78.693 39.474 55.447] 0.916003 0 0 -0.401173
Panopticon Portal | Dungeon | 0x02A10166 [260 0 -36] 0 0 0 -1
Paradox Queen's Lair | Dungeon | 0xC7B7011B [-108.681 61.0247 96.4] 0.92388 0 0 -0.382683
Paradox-Touched Olthoi Queen's Lair | Dungeon | 0xC7B7011B [-108.681 61.0247 96.4] 0.92388 0 0 -0.382683
Path of Rage | Dungeon | 0x587903EA [229.987 -121.558 -17.8345] 1 0 0 0
Path of Sorrows | Dungeon | 0x58790255 [180 -220 -29.895] 1 0 0 0
Path of the Blind | Dungeon | 0x002A034A [52.8552 -248.075 0.005] 1 0 0 0
Path of the Blind East | Dungeon | 0x00E1034A [52.8552 -248.075 0.005] 1 0 0 0
Path of the Blind West | Dungeon | 0x004B034A [52.8552 -248.075 0.005] 1 0 0 0
Path of Torment | Dungeon | 0x5879052B [130 -110.381 0.005] 1 0 0 0
Patriarch's Valley | Dungeon | 0x72C80025 [108 107 170.088] 1 0 0 0
Patron's Honor Cottages Portal | Dungeon | 0xA1DD001D [91.266 112.093 122.734] 0.034821 0 0 -0.999394
Pavanne Vale Freehold Portal | Dungeon | 0x91EC0028 [106.97 171.498 20.005] -0.183797 0 0 -0.982964
Payson Place Portal | Dungeon | 0xE53F0026 [0 0 0] 1 0 0 0
Penguin Cave Hatchery | Dungeon | 0x01CB0360 [4.058 -43.933 66.005] 0.382683 0 0 -0.92388
Penguin Den | Dungeon | 0x02DD019B [100.09 -229.548 0.005] 1 0 0 0
Peril's Edge Cottages Portal | Dungeon | 0x419C001D [74.381 117.164 96.005] 0.377922 0 0 -0.925838
Perimeter Portal | Dungeon | 0xF924001C [85.5 85.5 39] -0.382683 0 0 -0.92388
Petrifying Touch | Dungeon | 0x57470155 [80 -176.5 0.005] 1 0 0 0
Petrifying Touch | Dungeon | 0x58470155 [80 -176.5 0.005] 1 0 0 0
Petrifying Touch | Dungeon | 0x59470155 [80 -176.359 0.005] 0.707107 0 0 -0.707107
Petrifying Touch | Dungeon | 0x5A470155 [80 -176.359 0.005] 0.707107 0 0 -0.707107
Pheraion's Sanctum | Dungeon | 0x0083026E [20 -360 0.005] 1 0 0 0
Phyntos Menace | Dungeon | 0x0143010A [0 -80 0] 0.71934 0 0 -0.694658
Pillars-on-the-Sea Cottages Portal | Dungeon | 0x8A480014 [65.296 82.49 1.762] 0.836243 0 0 -0.548359
Pine Deep Portal | Dungeon | 0x4BC8001E [73.45 122.74 6.005] 0.313313 0 0 -0.94965
Pine Hillock Settlement Portal | Dungeon | 0x91B8002D [127.147 102.655 67.579] -0.575384 0 0 -0.817884
PK Only Test Portal | Dungeon | 0x828E001E [77.6 122.9 124] -0.529919 0 0 -0.848048
Plains of Ruin | Dungeon | 0x3FF00016 [60 132 14.005] 0.810963 0 0 -0.585097
Plainsview Cottages Portal | Dungeon | 0xA738002B [133.215 65.226 45.106] -0.938803 0 0 -0.344454
Planar Academy Headmaster's Rooms | Dungeon | 0x00D60430 [60 -66.4038 60.005] 1 0 0 0
Planar Academy Lecture Hall | Dungeon | 0x00D603F9 [60 -126.703 48.005] 1 0 0 0
Plateau Base | Dungeon | 0x48B80001 [20.703 11.361 98.509] -0.798835 0 0 -0.60155
Plateau Hollow Settlement Portal | Dungeon | 0x4EAC0022 [113.078 35.952 80.013] -0.91183 0 0 -0.410568
Plateau Portal | Dungeon | 0x49B70021 [100.1 20.8 238.6] -0.587785 0 0 -0.809017
Plateau Top | Dungeon | 0x49B60008 [13.112 181.23 238.893] -0.981313 0 0 -0.192419
Plateau Village | Town | 0x49B70021 [100.1 20.8 238.6] -0.587785 0 0 -0.809017
Plateau Wedding Portal | Dungeon | 0x49B80024 [104.3 86.2 0.24] 1 0 0 -0.000873
Plated Rifts | Dungeon | 0x5B49027E [180.208 -103.516 0.005] 1 0 0 0
Platforms of Rage | Dungeon | 0x2C300007 [8.21512 157.279 200.066] 0.382683 0 0 -0.92388
Platforms of Sorrow | Dungeon | 0x2C300027 [102.838 148.673 220.055] 0.400402 0 0 -0.91634
Platforms of Torment | Dungeon | 0x2D31002E [128.356 140.375 224.765] -0.700131 0 0 -0.714014
Platinum Legion Keep | Dungeon | 0x001A017A [190 -70 0.005] 0 0 0 -1
Point Tremblant Portal | Dungeon | 0x88F70017 [58.727 158.703 0.005] -0.984132 0 0 -0.177437
Portal | Dungeon | 0x586C01D3 [124.965 -30 -35.795] 1 0 0 0
Portal | Dungeon | 0x5870010C [20 -64.058 -11.95] 1 0 0 0
Portal | Dungeon | 0x5875025C [518.303 -174.744 0.055] 0.707107 0 0 -0.707107
Portal | Dungeon | 0x5878014F [170 -348.667 -59.995] 1 0 0 0
Portal | Dungeon | 0x58780204 [280 -258.667 -35.995] 1 0 0 0
Portal | Dungeon | 0x58780285 [130 -38.6667 -17.995] 1 0 0 0
Portal | Dungeon | 0x587802EF [130 -470 0.005] 1 0 0 0
Portal | Dungeon | 0x5B45019B [120 -188.9 -84] 0 0 0 -1
Portal | Dungeon | 0x5B45019B [120 -188.9 -84] 0 0 0 -1
Portal | Dungeon | 0x5B45019B [120 -188.9 -84] 0 0 0 -1
Portal | Dungeon | 0x5B4501AA [60 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501AA [60 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501D7 [130 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501D7 [130 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501E9 [170 -260 -83.9] 1 0 0 0
Portal | Dungeon | 0x5B4501E9 [170 -260 -83.9] 1 0 0 0
Portal | Dungeon | 0x5B4501FA [200 -170 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501FA [200 -170 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501FA [200 -170 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501FA [200 -170 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501FC [200 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B4501FC [200 -230 -83.995] 1 0 0 0
Portal | Dungeon | 0x5B45020D [140 -100 -78] 1 0 0 0
Portal | Dungeon | 0x5B45020D [140 -100 -78] 1 0 0 0
Portal | Dungeon | 0x5B45020D [140 -100 -78] 1 0 0 0
Portal | Dungeon | 0x5B45020D [140 -100 -78] 1 0 0 0
Portal | Dungeon | 0x5B45020D [140 -100 -78] 1 0 0 0
Portal | Dungeon | 0x5B450210 [140 -150 -78] 1 0 0 0
Portal | Dungeon | 0x5B450210 [140 -150 -78] 1 0 0 0
Portal | Dungeon | 0x5B450210 [140 -150 -78] 1 0 0 0
Portal | Dungeon | 0x5B450210 [140 -150 -78] 1 0 0 0
Portal | Dungeon | 0x5B450265 [200 -100 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450265 [200 -100 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450265 [200 -100 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450265 [200 -100 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450279 [220 -200 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450279 [220 -200 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450279 [220 -200 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450279 [220 -200 -77.995] 1 0 0 0
Portal | Dungeon | 0x5B450289 [270 -260 -78] 1 0 0 0
Portal | Dungeon | 0x5C4B0371 [63.5039 -300.804 0.005] 1 0 0 0
Portal | Dungeon | 0x7E030410 [100.358 -292.454 0.005] 1 0 0 0
Portal | Dungeon | 0x7E030603 [49.72 -93.7571 6.005] 1 0 0 0
Portal | Dungeon | 0x7E030604 [50 -114 6.005] 1 0 0 0
Portal | Dungeon | 0x7E030605 [50 -132.922 6.005] 1 0 0 0
Portal | Dungeon | 0x7E030606 [50 -153.35 6.005] 1 0 0 0
Portal | Dungeon | 0x7E030606 [50 -153.35 6.005] 1 0 0 0
Portal | Dungeon | 0x7E03072B [269.874 -192.185 6.005] 1 0 0 0
Portal | Dungeon | 0x9CD80009 [25.631 5.094 71.581] -0.849861 0 0 -0.527008
Portal | Dungeon | 0x9CD80009 [25.631 5.094 71.581] -0.849861 0 0 -0.527008
Portal | Dungeon | 0x9EDB002D [139.44 117.554 113.801] -0.995349 0 0 -0.096332
Portal | Dungeon | 0xA2DA0019 [74 5.304 54.005] 0.133882 0 0 -0.990997
Portal Floor Walk | Dungeon | 0x58740109 [180 -203.185 -12] 1 0 0 0
Portal Hotspot Empyrean Invoking | Dungeon | 0x526A0293 [220 -50 -24] 1 0 0 0
Portal Hotspot Lilitha Invoking | Dungeon | 0x526A01E8 [190 -80 -30] 1 0 0 0
Portal Space | Dungeon | 0x526A01F2 [30 -40 -24] 1 0 0 0
Portal Space | Dungeon | 0x526B010E [30 -110 -42] 1 0 0 0
Portal Space | Dungeon | 0x526B0154 [90 -30 -42] 1 0 0 0
Portal Space | Dungeon | 0x526B01A1 [110 -170 -42] 1 0 0 0
Portal Space | Dungeon | 0x526B01E7 [180 -90 -42] 1 0 0 0
Portal Space | Dungeon | 0x526B01F7 [10 -40 -35] 1 0 0 0
Portal Space | Dungeon | 0x526B0241 [40 -200 -36] 1 0 0 0
Portal Space | Dungeon | 0x526B029E [170 -10 -36] 1 0 0 0
Portal Space | Dungeon | 0x526B02DE [190 -160 -36] 1 0 0 0
Portal Space | Dungeon | 0x526B0425 [80 -100 -6] 0.707107 0 0 -0.707107
Portal Space | Dungeon | 0x526B0436 [100 -80 -6] 0 0 0 -1
Portal Space | Dungeon | 0x526B044C [120 -100 -6] -0.707107 0 0 -0.707107
Portal Space | Dungeon | 0x526B0457 [100 -80 0] 0 0 0 -1
Portal Space | Dungeon | 0x526C0123 [10 -160 -24] 1 0 0 0
Portal Space | Dungeon | 0x526C0144 [60 -10 -24] 1 0 0 0
Portal Space | Dungeon | 0x526C01A1 [160 -210 -24] 1 0 0 0
Portal Space | Dungeon | 0x526C01C2 [210 -60 -24] 1 0 0 0
Portal Space | Dungeon | 0x526C01E8 [40 -90 -18] 1 0 0 0
Portal Space | Dungeon | 0x526C025C [120 -170 -18] 1 0 0 0
Portal Space | Dungeon | 0x526C025F [130 -40 -18] 1 0 0 0
Portal Space | Dungeon | 0x526C02A9 [170 -160 -18] 1 0 0 0
Portal Space | Dungeon | 0x526C0406 [100 -100 0] 0.34202 0 0 -0.939693
Portal Space | Dungeon | 0x526C0412 [120 -100 0] -0.34202 0 0 -0.939693
Portal Space | Dungeon | 0x526C0414 [120 -120 0] -0.939693 0 0 -0.34202
Portal Space | Dungeon | 0x526C0447 [100 -120 0] 0.906308 0 0 -0.422618
Portal Summoning Site | Dungeon | 0xA5D30040 [178 185 394] -0.382683 0 0 -0.92388
Portal to Al-Arqas | Dungeon | 0x8F58003B [183.851 60.183 9.326] 0.707107 0 0 -0.707107
Portal to Arwic | Dungeon | 0xC6A90009 [46.805 4.219 42.005] 1 0 0 0
Portal to Baelzharon | Dungeon | 0x02B9012D [30 -20 -60] 1 0 0 0
Portal to Baishi | Dungeon | 0xCE410007 [12.6 152.8 55.1] -0.544639 0 0 -0.838671
Portal to Bluespire | Dungeon | 0x21B00017 [48.19 165.89 0.005] -0.083617 0 0 -0.996498
Portal to Burun Fortress | Dungeon | 0xB95F001D [78 96.7 6.005] -0.707107 0 0 -0.707107
Portal to Cragstone | Dungeon | 0xBB9F0030 [122.35 176.46 55.1] 0.573791 0 0 -0.819002
Portal to Cragstone | Dungeon | 0xBB9F0040 [169.358 168.251 54.005] 0.578683 0 0 -0.815552
Portal to Dryreach | Dungeon | 0xDA75002B [132 60 18.005] 1 0 0 0
Portal to Dryreach | Dungeon | 0xDB75003B [186 65 36] -0.75184 0 0 -0.659346
Portal to Eastwatch | Dungeon | 0x49F00013 [70 70 170.005] 0.67559 0 0 -0.737277
Portal to Facility Hub | Dungeon | 0x8A020212 [58.6391 -89.9231 6.005] 0.995004 0 0 -0.099833
Portal to Fort Tethana | Dungeon | 0x2681001D [77.7 108.1 240] -0.522499 0 0 -0.85264
Portal to Greenspire | Dungeon | 0x2BB5003C [178.958 86.57 0.005] 0.352348 0 0 -0.935869
Portal to Hebian-To | Dungeon | 0xE64E002F [138.304 161.905 20.04] 0.92388 0 0 -0.382683
Portal to Holtburg | Dungeon | 0xA9B40019 [84 7.1 94] 0.996917 0 0 -0.078459
Portal to Kara | Dungeon | 0xBA170039 [181.2 3.2 167.7] -0.848048 0 0 -0.529919
Portal to Khayyaban | Dungeon | 0x9F440012 [90 24.553 31.885] -0.782608 0 0 -0.622514
Portal to Kryst | Dungeon | 0xE822002A [132.7 37.9 20.1] -0.866025 0 0 -0.5
Portal to Lighthouse | Dungeon | 0x23840014 [61.8 80.5 645.8] 0.771625 0 0 -0.636078
Portal to Linvak Tukal | Dungeon | 0xA21E001A [83 38 560.4] 1 0 0 0
Portal to Major Fire Stone | Dungeon | 0x011B01B3 [1 -19.2 -30] -0.621831 0 0 -0.783151
Portal to Major Shivering Stone | Dungeon | 0x01170351 [190 -1.9 0] -0.09932 0 0 -0.995056
Portal to Major Sparking Stone | Dungeon | 0x01190114 [110.9 -46 -78] -0.661312 0 0 -0.750111
Portal to Major Stinging Stone | Dungeon | 0x011A039E [169.9 -37.5 -6] 0.151261 0 0 -0.988494
Portal to Mite Maze Wizard | Dungeon | 0x01F8037E [90 -60 6] 0.707107 0 0 -0.707107
Portal to Nanto | Dungeon | 0xE63E0022 [96.96 37.722 74.542] 0 0 0 -1
Portal to Neydisa Castle | Dungeon | 0x95D60033 [146.9 71.3 99.8] -0.731354 0 0 -0.681998
Portal to Redspire | Dungeon | 0x17B2002A [132.623 25.809 44.005] 0.998483 0 0 -0.055063
Portal to Rithwic | Dungeon | 0xC98C0028 [113.666 190.259 22.005] -0.707107 0 0 -0.707107
Portal to Samsur | Dungeon | 0x977B000C [25.811 73.853 0.005] 0.92995 0 0 -0.367686
Portal to Sanamar | Dungeon | 0x33D90015 [59.1 100.3 52.005] 0 0 0 -1
Portal to Shoushi | Dungeon | 0xDA55001D [84.8 99 20] 1 0 0 0
Portal to Silyun | Dungeon | 0x26EC0035 [156 108 80.005] 1 0 0 0
Portal to Silyun | Dungeon | 0x26EC003D [175.927 110.334 80.005] 0.673993 0 0 -0.738738
Portal to Stone Tool | Dungeon | 0x01370136 [236.4 -80.1 -108] 0.684547 0 0 -0.728969
Portal to Surface | Dungeon | 0xB9610013 [51.022 70.99 6.005] 0.142707 0 0 -0.989765
Portal to the Beach Fort | Dungeon | 0x42DE000C [25 84.5 0.005] -0.681998 0 0 -0.731354
Portal to the Surface | Dungeon | 0x2D5B001E [79.219 132.168 36.194] 1 0 0 0
Portal to the Surface | Dungeon | 0xC25D0001 [17 5 5.905] 1 0 0 0
Portal to Tou-Tou | Dungeon | 0xF5590034 [152.59 80.8 20.005] 0.92388 0 0 -0.382683
Portal to Town Network | Dungeon | 0x00070133 [60 -70 0.005] 0.707107 0 0 -0.707107
Portal to Town Network | Dungeon | 0x00070143 [70 -60 0.005] 0 0 0 -1
Portal to Town Network | Dungeon | 0x00070145 [70 -80 0.005] 1 0 0 0
Portal to Town Network | Dungeon | 0x00070156 [80 -70 0.005] -0.707107 0 0 -0.707107
Portal to Trial 1 | Dungeon | 0x01F402D2 [170 -180 0] 0.92388 0 0 -0.382684
Portal to Trial 2 | Dungeon | 0x02A202D2 [170 -180 0] 0.92388 0 0 -0.382684
Portal to Trial 3 | Dungeon | 0x02A602D2 [170 -180 0] 0.92388 0 0 -0.382684
Portal to Trial 4 | Dungeon | 0x02A702D2 [170 -180 0] 0.92388 0 0 -0.382684
Portal to Trial 5 | Dungeon | 0x02A802D2 [170 -180 0] 0.92388 0 0 -0.382684
Portal to Westwatch | Dungeon | 0x23DA002C [140.9 86 2.005] -0.406737 0 0 -0.913545
Portal to Xarabydun | Dungeon | 0x934B0021 [108.3 6.1 18.1] -0.964557 0 0 -0.263873
Portal to Yanshi | Dungeon | 0xB46F001E [75.2 124.1 34.69] 1 0 0 0
Portal to Yaraq | Dungeon | 0x7D64000D [31.9 104.6 11.9] 0.577145 0 0 -0.816642
Portal to Zaikhal | Dungeon | 0x80900013 [64.863 55.687 124.005] -0.929883 0 0 -0.367857
Portalling Device | Dungeon | 0xEC0D002C [137.96 94.428 0.005] 0 0 0 -1
Precarious Sojourn Exit Portal | Dungeon | 0x7E82001B [77.523 66.741 154.115] -0.698215 0 0 -0.715888
Precarious Sojourn Portal | Dungeon | 0x344F0007 [11.968 149.905 92] 0.969991 0 0 -0.243141
Presk's Bunker | Dungeon | 0x59510139 [190 -220 0.055] 0.930507 0 0 -0.366274
Presk's Treasury | Dungeon | 0x5951010F [70 -100 0.005] 1 0 0 0
Prismatic Devastation | Dungeon | 0x58530109 [20 -10 0.005] 1 0 0 0
Prismatic Guardian Lair | Dungeon | 0x5850014A [47.9531 -2.36641 6.005] 0 0 0 -1
Prismatic Ziggurat | Dungeon | 0x58510104 [20 -20 0.005] 0.382683 0 0 -0.92388
Private Chambers | Dungeon | 0x654D04DA [90 -120 0.01] 1 0 0 0
Prodigal Shadow Child's Lair | Dungeon | 0x00E60422 [190 -50 0.005] 1 0 0 0
Prosper River Headwaters Portal | Dungeon | 0x98C6002B [121.977 58.949 27.905] -0.954605 0 0 -0.297875
Proving Grounds Extreme | Dungeon | 0x5A4401A0 [20 -108 0.005] 0 0 0 -1
Proving Grounds Extreme | Dungeon | 0x5A4401A7 [40 -190 0.5] 0.707107 0 0 -0.707107
Proving Grounds Extreme | Dungeon | 0x5A4401D5 [110 -130 0.005] 1 0 0 0
Proving Grounds Extreme | Dungeon | 0x5A4401E9 [20 -33.2 6.7] 1 0 0 0
Proving Grounds High | Dungeon | 0x594401A0 [30 -108 0.005] 0 0 0 -1
Proving Grounds High | Dungeon | 0x594401A7 [40 -190 0.5] 0.707107 0 0 -0.707107
Proving Grounds High | Dungeon | 0x594401D5 [110 -130 0.005] 1 0 0 0
Proving Grounds High | Dungeon | 0x594401E9 [20 -33.2 6.7] 1 0 0 0
Proving Grounds Low | Dungeon | 0x574401A0 [30 -108 0.005] 0 0 0 -1
Proving Grounds Low | Dungeon | 0x574401A7 [40 -190 0.5] 0.707107 0 0 -0.707107
